Student_ID,attempt_count,num_of_videos,num_of_books,time_on_topic,avg_score,avg_timetaken
1,6,70,1.0,564.0,23.0,69.0
2,12,67,6.0,560.0,56.0,104.0
3,13,35,2.0,288.0,13.0,52.0
4,9,73,3.0,596.0,82.0,18.0
5,10,12,17.0,29.0,70.0,80.0
6,12,68,5.0,292.0,4.0,36.0
7,6,64,4.0,264.0,56.0,48.0
8,16,36,19.0,273.0,83.0,64.0
9,1,54,3.0,444.0,40.0,10.0
10,17,82,6.0,176.0,65.0,30.0
11,2,61,9.0,524.0,37.0,74.0
12,13,58,18.0,228.0,21.0,84.0
13,8,65,19.0,252.0,54.0,54.0
14,14,68,10.0,438.0,93.0,105.0
15,7,84,14.0,392.0,44.0,112.0
16,19,91,17.0,216.0,21.0,27.0
17,6,81,20.0,202.0,34.0,118.0
18,19,34,12.0,320.0,33.0,12.0
19,12,4,0.0,16.0,34.0,66.0
20,11,38,12.0,200.0,0.0,10.0
21,15,36,6.0,126.0,28.0,48.0
22,19,87,20.0,388.0,79.0,73.0
23,5,26,17.0,86.0,37.0,102.0
24,10,20,15.0,70.0,46.0,54.0
25,18,11,12.0,34.0,60.0,60.0
26,1,68,10.0,156.0,62.0,14.0
27,14,39,17.0,168.0,52.0,108.0
28,10,94,16.0,204.0,35.0,70.0
29,10,56,3.0,460.0,57.0,39.0
30,8,23,20.0,198.0,55.0,45.0
31,2,51,0.0,204.0,73.0,15.0
32,1,69,4.0,146.0,16.0,96.0
33,18,25,17.0,134.0,74.0,112.0
34,9,5,16.0,63.0,34.0,34.0
35,14,4,7.0,45.0,4.0,20.0
36,20,6,0.0,24.0,1.0,13.0
37,16,83,7.0,90.0,87.0,75.0
38,11,1,19.0,21.0,48.0,10.0
39,9,81,0.0,162.0,30.0,10.0
40,8,47,10.0,171.0,14.0,112.0
41,4,24,4.0,112.0,9.0,72.0
42,7,1,16.0,54.0,7.0,28.0
43,18,66,4.0,70.0,9.0,19.0
44,4,21,12.0,66.0,29.0,87.0
45,5,71,1.0,72.0,16.0,80.0
46,18,2,13.0,51.0,35.0,40.0
47,12,79,17.0,350.0,35.0,55.0
48,13,54,5.0,177.0,2.0,12.0
49,17,3,3.0,18.0,64.0,24.0
50,14,22,13.0,35.0,7.0,56.0
51,20,58,4.0,120.0,61.0,63.0
52,10,28,9.0,260.0,1.0,17.0
53,19,53,6.0,336.0,36.0,72.0
54,16,57,8.0,260.0,63.0,87.0
55,1,34,10.0,132.0,67.0,28.0
56,5,63,0.0,504.0,42.0,48.0
57,16,84,11.0,179.0,85.0,115.0
58,3,100,18.0,354.0,77.0,102.0
59,8,14,19.0,66.0,42.0,96.0
60,9,13,0.0,26.0,13.0,39.0
61,10,20,0.0,160.0,40.0,80.0
62,4,18,16.0,102.0,7.0,35.0
63,8,31,4.0,70.0,2.0,14.0
64,5,24,20.0,272.0,35.0,20.0
65,6,64,3.0,201.0,15.0,75.0
66,20,3,9.0,12.0,78.0,102.0
67,7,80,2.0,164.0,43.0,19.0
68,9,69,2.0,420.0,25.0,80.0
69,1,4,15.0,76.0,13.0,52.0
70,3,79,6.0,656.0,63.0,69.0
71,11,57,8.0,130.0,26.0,52.0
72,16,1,12.0,56.0,89.0,23.0
73,16,46,15.0,214.0,90.0,10.0
74,8,55,14.0,124.0,5.0,15.0
75,20,12,4.0,32.0,52.0,36.0
76,11,40,18.0,98.0,74.0,74.0
77,15,87,1.0,176.0,60.0,10.0
78,1,41,3.0,170.0,38.0,32.0
79,2,96,10.0,606.0,72.0,96.0
80,18,58,1.0,117.0,62.0,66.0
81,14,39,15.0,372.0,39.0,78.0
82,4,76,11.0,174.0,0.0,10.0
83,1,55,5.0,180.0,8.0,40.0
84,14,46,17.0,126.0,60.0,60.0
85,7,67,1.0,204.0,62.0,18.0
86,7,60,18.0,156.0,9.0,54.0
87,3,98,1.0,591.0,26.0,114.0
88,13,29,5.0,68.0,5.0,15.0
89,12,83,19.0,408.0,0.0,10.0
90,8,93,6.0,576.0,51.0,66.0
91,14,44,15.0,236.0,49.0,27.0
92,9,47,18.0,336.0,58.0,42.0
93,12,63,10.0,292.0,47.0,68.0
94,13,80,2.0,246.0,55.0,25.0
95,12,94,6.0,400.0,3.0,27.0
96,5,28,9.0,37.0,33.0,66.0
97,8,41,11.0,372.0,51.0,48.0
98,8,19,17.0,72.0,12.0,24.0
99,14,52,13.0,65.0,41.0,44.0
100,5,36,16.0,264.0,79.0,117.0
101,17,46,6.0,294.0,43.0,19.0
102,19,72,6.0,312.0,1.0,15.0
103,1,72,0.0,576.0,55.0,55.0
104,14,96,16.0,448.0,71.0,71.0
105,11,61,11.0,72.0,48.0,24.0
106,18,55,0.0,330.0,11.0,22.0
107,8,22,13.0,171.0,41.0,85.0
108,11,10,9.0,29.0,28.0,76.0
109,1,7,6.0,26.0,55.0,35.0
110,13,58,1.0,468.0,30.0,60.0
111,2,20,9.0,29.0,59.0,59.0
112,10,69,1.0,278.0,8.0,18.0
113,19,47,12.0,424.0,4.0,14.0
114,20,69,11.0,320.0,18.0,16.0
115,2,7,15.0,88.0,44.0,44.0
116,3,96,10.0,318.0,64.0,64.0
117,13,71,20.0,182.0,41.0,16.0
118,8,2,2.0,12.0,23.0,92.0
119,3,25,6.0,62.0,48.0,72.0
120,11,5,19.0,87.0,65.0,105.0
121,1,22,10.0,128.0,1.0,19.0
122,10,65,19.0,252.0,83.0,18.0
123,19,84,17.0,404.0,44.0,88.0
124,7,93,13.0,424.0,3.0,27.0
125,3,49,11.0,109.0,82.0,16.0
126,8,59,18.0,154.0,30.0,90.0
127,8,40,0.0,80.0,73.0,31.0
128,17,60,1.0,242.0,59.0,55.0
129,16,37,0.0,296.0,51.0,15.0
130,6,18,0.0,18.0,24.0,24.0
131,18,60,8.0,204.0,44.0,12.0
132,11,11,0.0,88.0,25.0,30.0
133,17,85,4.0,348.0,28.0,104.0
134,6,40,4.0,168.0,71.0,71.0
135,14,20,0.0,80.0,42.0,16.0
136,18,78,16.0,344.0,8.0,56.0
137,19,2,13.0,34.0,7.0,42.0
138,2,55,12.0,122.0,81.0,84.0
139,11,91,1.0,368.0,76.0,84.0
140,1,76,15.0,334.0,54.0,42.0
141,8,74,0.0,222.0,76.0,108.0
142,1,89,20.0,218.0,73.0,15.0
143,20,82,1.0,83.0,82.0,82.0
144,18,36,3.0,300.0,40.0,10.0
145,15,77,0.0,616.0,3.0,18.0
146,14,12,15.0,39.0,47.0,68.0
147,12,25,19.0,138.0,0.0,10.0
148,7,92,6.0,760.0,27.0,15.0
149,14,63,0.0,189.0,12.0,48.0
150,16,4,16.0,80.0,68.0,68.0
151,10,94,17.0,111.0,6.0,12.0
152,3,54,18.0,144.0,44.0,88.0
153,8,100,4.0,208.0,21.0,16.0
154,6,6,16.0,22.0,22.0,78.0
155,5,33,0.0,132.0,57.0,45.0
156,6,11,7.0,116.0,36.0,60.0
157,9,42,18.0,180.0,64.0,80.0
158,14,11,20.0,168.0,60.0,60.0
159,18,54,2.0,112.0,18.0,90.0
160,18,92,13.0,420.0,11.0,66.0
161,16,44,10.0,98.0,27.0,96.0
162,14,58,7.0,65.0,90.0,10.0
163,9,20,17.0,171.0,7.0,28.0
164,15,50,5.0,55.0,71.0,88.0
165,14,34,9.0,43.0,87.0,21.0
166,17,71,4.0,292.0,8.0,40.0
167,11,3,4.0,40.0,67.0,109.0
168,14,67,7.0,282.0,59.0,57.0
169,4,78,1.0,628.0,61.0,63.0
170,3,17,2.0,36.0,10.0,10.0
171,15,62,11.0,292.0,20.0,60.0
172,15,16,17.0,66.0,66.0,24.0
173,1,86,3.0,525.0,42.0,42.0
174,12,54,5.0,339.0,62.0,18.0
175,4,64,3.0,262.0,76.0,96.0
176,2,90,19.0,796.0,80.0,40.0
177,3,22,9.0,124.0,50.0,10.0
178,20,33,5.0,284.0,26.0,104.0
179,17,82,4.0,672.0,26.0,26.0
180,1,51,9.0,60.0,40.0,10.0
181,19,12,11.0,46.0,78.0,24.0
182,11,25,6.0,93.0,26.0,36.0
183,9,77,14.0,168.0,57.0,33.0
184,14,2,4.0,24.0,62.0,16.0
185,4,49,1.0,198.0,29.0,54.0
186,1,70,1.0,141.0,5.0,25.0
187,9,22,1.0,180.0,17.0,68.0
188,14,42,13.0,97.0,60.0,60.0
189,19,22,2.0,92.0,35.0,35.0
190,16,20,0.0,120.0,30.0,10.0
191,10,63,8.0,134.0,15.0,30.0
192,1,86,16.0,306.0,41.0,13.0
193,13,75,2.0,154.0,89.0,27.0
194,20,29,14.0,216.0,13.0,26.0
195,18,18,10.0,84.0,4.0,20.0
196,11,22,5.0,108.0,53.0,39.0
197,13,19,2.0,160.0,65.0,85.0
198,16,84,10.0,534.0,13.0,104.0
199,15,6,11.0,68.0,47.0,42.0
200,20,82,18.0,200.0,7.0,56.0
201,20,11,12.0,46.0,15.0,15.0
202,12,69,5.0,429.0,45.0,45.0
203,8,1,3.0,5.0,6.0,24.0
204,4,82,16.0,196.0,80.0,10.0
205,16,48,2.0,50.0,41.0,47.0
206,15,4,16.0,24.0,89.0,54.0
207,20,4,17.0,42.0,27.0,15.0
208,3,83,1.0,84.0,70.0,10.0
209,5,83,14.0,194.0,51.0,99.0
210,5,35,11.0,92.0,80.0,80.0
211,1,76,19.0,285.0,35.0,15.0
212,20,87,9.0,288.0,62.0,16.0
213,4,6,0.0,18.0,3.0,13.0
214,20,9,6.0,96.0,33.0,24.0
215,6,57,17.0,296.0,55.0,15.0
216,7,3,2.0,10.0,69.0,18.0
217,16,36,2.0,296.0,25.0,75.0
218,8,39,14.0,368.0,46.0,92.0
219,6,31,16.0,141.0,87.0,63.0
220,16,42,2.0,88.0,3.0,27.0
221,18,62,6.0,68.0,42.0,42.0
222,1,30,6.0,144.0,45.0,60.0
223,11,87,19.0,318.0,53.0,11.0
224,11,57,17.0,74.0,43.0,43.0
225,3,65,10.0,140.0,8.0,48.0
226,3,85,9.0,376.0,15.0,105.0
227,18,0,2.0,6.0,88.0,104.0
228,5,1,16.0,72.0,45.0,75.0
229,1,52,5.0,436.0,42.0,90.0
230,15,4,15.0,23.0,69.0,21.0
231,18,6,14.0,104.0,68.0,64.0
232,8,93,6.0,198.0,55.0,80.0
233,4,44,6.0,94.0,41.0,13.0
234,18,66,16.0,82.0,73.0,26.0
235,7,4,2.0,18.0,29.0,83.0
236,10,47,8.0,204.0,38.0,108.0
237,11,47,4.0,51.0,91.0,66.0
238,14,47,10.0,416.0,85.0,115.0
239,7,36,8.0,132.0,86.0,104.0
240,7,25,0.0,25.0,47.0,42.0
241,17,19,7.0,104.0,28.0,104.0
242,17,38,17.0,186.0,38.0,70.0
243,19,75,1.0,304.0,2.0,16.0
244,13,85,11.0,384.0,31.0,35.0
245,10,94,6.0,388.0,14.0,14.0
246,1,1,17.0,18.0,37.0,28.0
247,17,55,17.0,288.0,45.0,45.0
248,20,83,1.0,668.0,76.0,84.0
249,10,97,7.0,416.0,73.0,26.0
250,17,67,1.0,270.0,4.0,14.0
251,20,17,10.0,108.0,25.0,80.0
252,16,18,16.0,136.0,95.0,90.0
253,11,86,2.0,88.0,9.0,81.0
254,5,2,14.0,16.0,71.0,66.0
255,15,62,5.0,134.0,33.0,78.0
256,15,90,4.0,368.0,13.0,39.0
257,4,9,9.0,36.0,34.0,32.0
258,17,97,13.0,828.0,53.0,25.0
259,15,77,15.0,338.0,77.0,102.0
260,16,49,3.0,104.0,56.0,112.0
261,8,45,13.0,58.0,65.0,30.0
262,15,7,11.0,25.0,49.0,27.0
263,14,90,15.0,420.0,35.0,90.0
264,16,86,18.0,570.0,84.0,48.0
265,19,96,4.0,588.0,65.0,20.0
266,15,67,6.0,73.0,90.0,30.0
267,13,49,10.0,324.0,66.0,78.0
268,6,5,0.0,15.0,2.0,14.0
269,13,84,4.0,172.0,90.0,60.0
270,13,46,15.0,428.0,70.0,110.0
271,13,73,1.0,147.0,46.0,18.0
272,8,72,0.0,72.0,68.0,12.0
273,8,81,13.0,525.0,85.0,100.0
274,12,8,3.0,76.0,82.0,16.0
275,13,85,1.0,344.0,39.0,36.0
276,19,63,1.0,256.0,95.0,70.0
277,7,94,2.0,384.0,59.0,118.0
278,17,53,14.0,360.0,54.0,84.0
279,6,44,15.0,309.0,46.0,18.0
280,3,25,9.0,177.0,53.0,78.0
281,2,92,4.0,376.0,61.0,67.0
282,12,40,1.0,82.0,62.0,66.0
283,6,7,11.0,54.0,54.0,84.0
284,10,62,11.0,73.0,68.0,64.0
285,12,65,4.0,207.0,47.0,94.0
286,2,14,3.0,31.0,34.0,32.0
287,19,55,2.0,228.0,16.0,80.0
288,1,37,5.0,237.0,26.0,36.0
289,8,66,14.0,292.0,75.0,15.0
290,1,43,18.0,61.0,10.0,70.0
291,3,64,18.0,82.0,9.0,72.0
292,4,84,10.0,376.0,37.0,93.0
293,7,17,10.0,54.0,7.0,49.0
294,13,71,13.0,310.0,71.0,17.0
295,8,100,17.0,434.0,1.0,17.0
296,7,18,15.0,153.0,23.0,87.0
297,20,82,10.0,276.0,22.0,66.0
298,16,37,0.0,74.0,91.0,66.0
299,17,91,18.0,327.0,30.0,90.0
300,7,75,1.0,302.0,57.0,114.0
301,14,92,1.0,370.0,1.0,19.0
302,5,18,10.0,112.0,12.0,24.0
303,3,30,0.0,120.0,58.0,58.0
304,11,59,1.0,180.0,19.0,57.0
305,10,34,0.0,272.0,5.0,25.0
306,10,74,14.0,162.0,39.0,75.0
307,14,64,8.0,544.0,25.0,80.0
308,13,87,9.0,384.0,15.0,45.0
309,19,47,0.0,188.0,35.0,90.0
310,11,45,0.0,135.0,85.0,45.0
311,12,51,19.0,484.0,35.0,35.0
312,10,83,17.0,200.0,40.0,40.0
313,5,6,5.0,34.0,86.0,52.0
314,17,48,2.0,100.0,57.0,114.0
315,17,53,12.0,354.0,39.0,117.0
316,20,99,3.0,804.0,39.0,114.0
317,11,80,3.0,166.0,67.0,14.0
318,4,24,19.0,134.0,24.0,72.0
319,10,16,1.0,17.0,61.0,65.0
320,18,13,0.0,39.0,54.0,96.0
321,3,14,1.0,45.0,6.0,42.0
322,5,59,16.0,402.0,24.0,48.0
323,14,92,0.0,736.0,14.0,42.0
324,15,86,5.0,708.0,54.0,72.0
325,17,21,18.0,240.0,18.0,24.0
326,9,17,16.0,200.0,8.0,18.0
327,3,17,17.0,102.0,17.0,17.0
328,4,30,6.0,66.0,71.0,71.0
329,14,42,2.0,176.0,42.0,42.0
330,10,28,16.0,132.0,83.0,55.0
331,5,5,14.0,76.0,66.0,102.0
332,5,82,15.0,358.0,18.0,36.0
333,9,89,4.0,546.0,75.0,75.0
334,19,100,1.0,402.0,73.0,15.0
335,2,20,19.0,59.0,0.0,10.0
336,7,35,5.0,150.0,64.0,80.0
337,20,80,6.0,172.0,6.0,36.0
338,15,72,8.0,80.0,47.0,68.0
339,9,10,1.0,42.0,78.0,72.0
340,8,35,9.0,316.0,57.0,33.0
341,17,16,20.0,156.0,84.0,60.0
342,6,34,20.0,162.0,75.0,15.0
343,3,73,0.0,73.0,71.0,93.0
344,3,85,1.0,172.0,79.0,79.0
345,15,53,7.0,226.0,6.0,16.0
346,12,74,1.0,447.0,6.0,48.0
347,11,71,18.0,320.0,7.0,21.0
348,9,48,10.0,116.0,30.0,10.0
349,17,55,16.0,126.0,83.0,64.0
350,6,20,19.0,177.0,55.0,45.0
351,10,78,17.0,519.0,81.0,45.0
352,14,5,20.0,120.0,0.0,10.0
353,9,37,8.0,90.0,28.0,56.0
354,11,12,2.0,56.0,68.0,84.0
355,12,39,9.0,48.0,40.0,10.0
356,7,27,10.0,37.0,23.0,115.0
357,1,49,10.0,118.0,27.0,27.0
358,15,33,20.0,258.0,59.0,57.0
359,5,95,13.0,324.0,39.0,117.0
360,12,54,2.0,330.0,57.0,51.0
361,4,50,5.0,220.0,24.0,48.0
362,1,48,20.0,116.0,9.0,81.0
363,15,83,16.0,182.0,33.0,45.0
364,18,96,4.0,392.0,55.0,90.0
365,7,61,4.0,195.0,51.0,33.0
366,1,4,0.0,12.0,53.0,117.0
367,2,82,10.0,174.0,31.0,97.0
368,7,83,9.0,525.0,31.0,62.0
369,5,93,4.0,570.0,53.0,106.0
370,19,55,17.0,254.0,19.0,95.0
371,6,62,1.0,126.0,39.0,114.0
372,7,56,15.0,381.0,19.0,38.0
373,19,90,1.0,91.0,16.0,18.0
374,19,60,6.0,252.0,29.0,54.0
375,15,38,17.0,110.0,69.0,54.0
376,8,71,15.0,86.0,52.0,52.0
377,17,69,2.0,140.0,2.0,16.0
378,8,12,20.0,176.0,38.0,108.0
379,12,27,0.0,54.0,41.0,88.0
380,15,18,0.0,54.0,48.0,72.0
381,9,53,14.0,134.0,26.0,78.0
382,9,34,5.0,156.0,90.0,90.0
383,9,92,15.0,398.0,51.0,102.0
384,17,82,12.0,282.0,12.0,48.0
385,3,94,7.0,404.0,40.0,40.0
386,1,43,2.0,45.0,66.0,78.0
387,8,94,7.0,585.0,86.0,52.0
388,13,36,14.0,100.0,7.0,56.0
389,18,83,16.0,396.0,87.0,42.0
390,2,35,16.0,51.0,56.0,56.0
391,11,6,0.0,12.0,45.0,30.0
392,10,99,8.0,618.0,75.0,45.0
393,12,86,19.0,315.0,26.0,52.0
394,6,30,11.0,213.0,18.0,36.0
395,18,10,7.0,34.0,62.0,66.0
396,6,30,17.0,141.0,4.0,32.0
397,11,55,12.0,366.0,25.0,105.0
398,15,36,6.0,156.0,87.0,21.0
399,18,55,2.0,114.0,76.0,96.0
400,11,61,16.0,154.0,6.0,24.0
401,9,19,11.0,120.0,1.0,12.0
402,17,50,0.0,200.0,60.0,10.0
403,20,92,19.0,406.0,20.0,40.0
404,13,45,2.0,188.0,91.0,99.0
405,14,75,13.0,652.0,26.0,78.0
406,17,56,3.0,177.0,54.0,108.0
407,5,31,19.0,81.0,67.0,109.0
408,19,93,14.0,321.0,21.0,69.0
409,5,59,1.0,180.0,35.0,75.0
410,4,75,14.0,164.0,46.0,18.0
411,13,30,8.0,114.0,44.0,112.0
412,3,89,14.0,412.0,2.0,14.0
413,13,80,12.0,344.0,29.0,87.0
414,1,41,12.0,106.0,28.0,12.0
415,1,77,2.0,316.0,0.0,10.0
416,16,3,16.0,22.0,28.0,84.0
417,5,27,18.0,45.0,10.0,60.0
418,11,6,4.0,48.0,49.0,54.0
419,13,9,10.0,56.0,42.0,12.0
420,19,66,2.0,136.0,83.0,83.0
421,6,67,13.0,320.0,20.0,100.0
422,17,82,15.0,537.0,95.0,70.0
423,1,74,3.0,151.0,50.0,40.0
424,12,35,4.0,74.0,40.0,80.0
425,13,56,7.0,126.0,70.0,90.0
426,12,44,17.0,183.0,0.0,10.0
