Student_ID,skill,Test_ID,Type,Days_prepared,TimeTaken,score
1,m-measurement,81,checkboxquestion,63,73,69.0
1,m-measurement,80,algebra,55,116,14.0
1,m-measurement,26,interfaceradioquestion,31,32,31.0
1,m-measurement,16,interfacepopupmenuquestion1,48,36,33.0
1,m-measurement,40,algebrafieldquestion1,33,41,41.0
1,m-measurement,41,radioquestion,29,60,59.0
1,m-measurement,54,interfacetextfieldquestion,6,73,59.0
1,m-measurement,18,radioquestion,54,73,74.0
1,m-measurement,58,popupmenuquestion,57,75,50.0
1,m-measurement,51,algebra,24,66,46.0
1,m-measurement,19,popupmenuquestion,46,61,59.0
1,m-measurement,70,textfieldquestion,9,99,73.0
1,m-measurement,88,interfacepopupmenuquestion1,61,65,65.0
1,m-measurement,17,checkboxquestion,36,50,57.0
1,m-measurement,48,algebra,63,92,68.0
1,m-measurement,4,textfieldquestion,9,34,35.0
1,m-measurement,39,checkboxquestion,56,30,28.0
1,m-measurement,53,other,50,88,69.0
1,m-measurement,9,interfaceradioquestion1,7,32,18.0
1,m-measurement,35,checkboxquestion,16,32,36.0
1,m-measurement,45,other,76,58,66.0
1,m-measurement,73,textfieldquestion,42,66,48.0
1,m-measurement,60,interfacetextfieldquestion,37,31,28.0
1,m-measurement,92,interfacepopupmenuquestion1,23,58,36.0
1,m-measurement,99,radioquestion,32,77,68.0
1,m-measurement,15,interfacetextfieldquestion,25,120,84.0
1,m-measurement,22,interfaceradioquestion1,24,71,56.0
1,m-measurement,13,algebrafieldquestion1,31,65,50.0
1,m-measurement,59,textfieldquestion,48,113,100.0
1,m-measurement,83,interfaceradioquestion,36,67,52.0
1,m-measurement,96,algebra,51,82,79.0
1,m-measurement,87,interfacepopupmenuquestion1,60,73,68.0
1,m-measurement,77,popupmenuquestion,48,83,66.0
1,m-measurement,55,checkboxquestion,66,94,81.0
1,m-measurement,91,interfaceradioquestion,9,88,64.0
1,m-measurement,43,checkboxquestion,67,101,100.0
1,m-measurement,33,algebrafieldquestion1,5,106,76.0
1,m-measurement,24,popupmenuquestion,35,36,24.0
1,m-measurement,38,radioquestion,76,30,48.0
1,m-measurement,63,algebra,74,59,57.0
1,m-measurement,10,interfaceradioquestion1,76,101,3.0
1,m-measurement,2,algebra,16,41,18.0
1,m-measurement,46,algebra,41,54,49.0
1,m-measurement,76,interfacepopupmenuquestion1,49,74,64.0
1,m-measurement,56,radioquestion,14,49,34.0
1,m-measurement,82,textfieldquestion,33,49,52.0
1,m-measurement,93,interfaceradioquestion1,47,61,48.0
1,m-measurement,100,popupmenuquestion,64,98,100.0
1,m-measurement,37,other,31,81,62.0
1,m-measurement,57,interfacetextfieldquestion1,34,88,76.0
1,m-measurement,14,other,11,56,32.0
1,m-measurement,47,checkboxquestion,5,76,54.0
1,m-measurement,28,noprobtype,71,60,58.0
1,m-measurement,25,algebrafieldquestion,40,49,57.0
1,m-measurement,29,algebra,72,65,87.0
1,m-measurement,66,algebra,41,117,7.0
1,m-measurement,8,interfaceradioquestion,10,35,27.0
1,m-measurement,89,interfacepopupmenuquestion1,52,57,59.0
1,m-measurement,62,interfacepopupmenuquestion1,52,39,38.0
1,m-measurement,98,interfacetextfieldquestion1,32,86,77.0
1,m-measurement,78,interfaceradioquestion,40,108,74.0
1,m-measurement,74,noprobtype,35,114,100.0
